line,stanza,lyric
16,4,soy diferente a tí y qué
17,4,soy algo diferente yeah
18,5,Mala es como yo soy 
19,5,sorry no puedo cambiar
20,5,ellos lamentan su forma de ser
21,5,yo solo ocupo mi tiempo en querer
22,5,"vivir, yo vivo la vida no me detengas más"
23,5,sé lo especial que soy yeah
24,6,No me importa lo que digan más
25,6,"Ese es mi estilo, no voy a cambiar"
26,6,Mis 언니s dicen yo atrevida siempre seré
27,6,"I’m so, sorry y yo no quiero hacerlo"
28,7,Bonita soy y no muy atractiva
29,7,Soy muy diferente a los demás
30,7,Y no me juzgues según tus ideales
31,7,Amo ser yo misma y nadie más
32,8,No importa lo que opine la gente de mi
33,8,Le hablo a mi interior no te metas conmigo
34,8,"No pienses más, tú lo lograrás sigue soñando wo!"
35,9,"siempre firme, contigo estoy"
36,9,"siempre en alto, sigue soñando"
37,9,"siempre firme, contigo estoy"
38,9,"siempre en alto, sigue soñando"
39,10,Bonita soy y no muy atractiva
40,10,soy muy diferente a los demás
41,10,y no me juzgues según tus ideales
42,10,amo ser yo misma y nadie más
43,11,me amo así
44,11,soy algo diferente yeah
45,11,me amo así
46,11,soy diferente a tí y qué
47,11,soy algo diferente yeah
48,11,soy algo diferente yeah
